"user";"PR";"comments";"coments_review";"commit";"changed_files";"add_lines";"delete_lines";"Did_CommitMerge"
"jvc26";3;7;0;1;2;42;45;FALSE
"niwinz";678;3;0;27;50;779;557;TRUE
"niwinz";555;2;0;1;2;38;1;TRUE
"niwinz";66;0;0;1;3;64;3;TRUE
"niwinz";65;3;0;1;7;84;1;TRUE
"niwinz";41;17;4;1;8;266;17;TRUE
"niwinz";33;0;0;14;8;253;15;TRUE
"niwinz";4;5;0;3;8;206;15;TRUE
"remiprev";5;2;0;1;2;24;45;FALSE
"yuvadm";6;2;0;1;1;0;0;FALSE
"JCB-K";7;3;0;0;0;0;0;FALSE
"davehughes";8;4;0;0;0;0;0;FALSE
"tvaughan";12;5;1;0;0;0;0;FALSE
"robgolding";36;3;0;1;2;2;18;FALSE
"kennethreitz";40;0;0;0;0;0;0;FALSE
"gerardo-orozco";42;2;2;8;6;135;8;FALSE
"natebragg";46;9;0;1;22;428;310;FALSE
"pzinovkin";2241;6;1;0;0;0;0;TRUE
"pzinovkin";308;1;0;0;0;0;0;TRUE
"pzinovkin";62;1;0;0;0;0;0;TRUE
"pzinovkin";49;8;0;0;0;0;0;TRUE
"ei-grad";54;2;0;1;1;4;4;FALSE
"tylerball";55;1;0;0;0;0;0;TRUE
"pvanderlinden";56;2;0;2;4;70;2;FALSE
"bradbeattie";59;4;0;2;1;13;8;FALSE
"bradbeattie";58;1;0;1;1;1;1;FALSE
"programmerq";60;0;0;1;1;2;0;FALSE
"httpdss";63;3;0;1;1;0;2;FALSE
"stephenmuss";499;2;2;0;0;0;0;TRUE
"stephenmuss";64;1;0;0;0;0;0;TRUE
"valhallasw";67;1;0;2;2;14;10;FALSE
"newmaniese";74;1;0;1;1;12;3;TRUE
"newmaniese";73;1;0;1;1;12;3;TRUE
"newmaniese";72;0;0;193;201;3211;1609;TRUE
"newmaniese";71;1;0;1;1;11;2;TRUE
"eamonnfaherty";77;1;0;1;1;3;2;FALSE
"crodjer";576;19;10;10;6;73;2;FALSE
"crodjer";454;4;0;55;36;637;164;FALSE
"crodjer";453;0;0;6;5;96;10;FALSE
"crodjer";452;1;0;3;5;37;5;FALSE
"crodjer";95;3;2;11;4;174;24;FALSE
"crodjer";78;7;0;7;7;127;17;FALSE
"datajockey";83;1;0;1;7;30;9;TRUE
"bmihelac";2246;1;8;1;5;118;4;TRUE
"bmihelac";1005;1;0;1;2;19;2;TRUE
"bmihelac";698;1;0;1;5;25;2;TRUE
"bmihelac";697;1;0;40;66;912;220;TRUE
"bmihelac";390;1;0;1;1;4;0;TRUE
"bmihelac";163;1;0;1;1;2;2;TRUE
"bmihelac";84;3;0;3;5;25;2;TRUE
"rafaduran";96;3;0;2;1;3;3;FALSE
"rafaduran";91;2;0;1;1;3;3;FALSE
"rafaduran";85;2;0;1;1;4;4;FALSE
"davedash";87;5;0;1;1;1;1;FALSE
"jpic";8024;2;0;1;1;8;1;TRUE
"jpic";7785;2;2;1;2;11;0;TRUE
"jpic";7681;20;20;9;4;43;3;TRUE
"jpic";6368;1;0;1;1;3;1;TRUE
"jpic";6037;23;1;1;5;42;51;TRUE
"jpic";4824;3;8;2;2;40;2;TRUE
"jpic";4822;1;0;2;2;32;2;TRUE
"jpic";4821;1;0;568;3470;34949;93378;TRUE
"jpic";4747;12;5;5;3;42;4;TRUE
"jpic";4684;11;0;2;3;30;2;TRUE
"jpic";795;5;16;19;5;133;11;TRUE
"jpic";763;1;0;1;1;1;1;TRUE
"jpic";761;0;2;4;2;7;8;TRUE
"jpic";732;1;0;1;1;10;18;TRUE
"jpic";88;7;0;2;2;2;2;TRUE
"jacobh";3030;1;0;1;2;7;0;TRUE
"jacobh";100;1;0;1;1;4;1;TRUE
"vsajip";102;1;0;5;1;1;1;FALSE
"fabianbuechler";618;17;5;8;14;971;698;TRUE
"fabianbuechler";108;4;0;1;9;636;463;TRUE
"msabramo";110;2;4;2;3;22;0;FALSE
"littke";111;1;0;0;0;0;0;FALSE
"svartalf";113;3;0;0;0;0;0;FALSE
"saschpe";1759;1;7;1;4;51;1;TRUE
"saschpe";1718;1;0;1;1;3;0;TRUE
"saschpe";1717;3;0;1;2;2;1;TRUE
"saschpe";695;7;1;2;5;20;2;TRUE
"saschpe";150;7;3;2;5;30;2;TRUE
"saschpe";114;5;0;1;5;30;2;TRUE
"raulcd";3983;2;0;0;0;0;0;TRUE
"raulcd";3443;1;0;0;0;0;0;TRUE
"raulcd";118;1;0;0;0;0;0;TRUE
"raulcd";115;0;0;0;0;0;0;TRUE
"westfeld";116;1;0;0;0;0;0;FALSE
"pvl";135;1;0;1;1;10;1;FALSE
"pvl";131;0;0;1;1;12;1;FALSE
"pvl";120;1;0;1;5;65;0;FALSE
"JannKleen";126;0;0;1;3;38;5;TRUE
"audreyr";128;3;0;2;1;45;33;TRUE
"nmfm";132;1;0;1;2;21;0;TRUE
"chrisglass";133;1;0;1;4;48;6;FALSE
"kennethlove";5033;1;0;1;1;2;0;TRUE
"kennethlove";145;4;0;5;5;67;4;TRUE
"fuu";147;2;2;0;0;0;0;FALSE
"dgerzo";591;1;0;1;1;2;1;TRUE
"dgerzo";148;4;0;1;1;2;2;TRUE
"tsaylor";151;2;0;2;2;3;3;TRUE
"cobalys";180;5;0;3;9;100;29;TRUE
"cobalys";152;1;0;3;4;42;2;TRUE
"nagisa";170;1;0;0;0;0;0;FALSE
"nagisa";154;3;0;0;0;0;0;FALSE
"Psycojoker";4466;1;0;2;1;11;0;TRUE
"Psycojoker";4402;1;0;1;1;6;2;TRUE
"Psycojoker";155;1;0;2;1;10;1;TRUE
"ekkus93";158;4;3;0;0;0;0;FALSE
"ChameleonRed";2648;1;5;3;1;5;0;FALSE
"ChameleonRed";160;4;0;1;1;8;7;FALSE
"errx";2454;3;0;1;1;1;1;FALSE
"errx";939;1;0;1;2;3;2;FALSE
"errx";161;1;0;1;2;11;0;FALSE
"ximi";162;1;0;1;1;1;1;FALSE
"tuxcanfly";1761;1;0;1;1;2;1;TRUE
"tuxcanfly";1748;1;7;1;3;16;0;TRUE
"tuxcanfly";1716;3;5;1;3;12;3;TRUE
"tuxcanfly";1687;1;0;1;1;1;1;TRUE
"tuxcanfly";660;1;0;1;3;53;12;TRUE
"tuxcanfly";165;1;6;4;2;41;0;TRUE
"tuxcanfly";164;1;0;1;2;41;0;TRUE
"jairtrejo";166;1;0;0;0;0;0;FALSE
"jnns";2473;1;0;1;1;1;1;TRUE
"jnns";167;1;0;1;1;1;0;TRUE
"tomkins";169;1;0;1;3;17;1;FALSE
"gabrielgrant";171;1;0;1;1;1;1;TRUE
"aashudwivedi";172;1;0;1;2;3;3;FALSE
"bradleyayers";234;1;0;1;1;25;30;TRUE
"bradleyayers";174;2;0;70;142;4264;2777;TRUE
"adw0rd";175;3;0;5;3;29;1;FALSE
"bhuztez";178;13;0;12;50;329;59;TRUE
"bhuztez";177;1;0;1;6;54;21;TRUE
"dittaeva";205;3;4;1;1;1;1;FALSE
"dittaeva";179;1;0;1;1;7;7;FALSE
"deniscostadsc";181;2;0;3;0;0;0;FALSE
"alrra";184;1;0;0;0;0;0;FALSE
"babymastodon";189;3;0;1;1;1;0;FALSE
"ulope";3545;14;0;1;3;232;151;TRUE
"ulope";190;2;0;1;4;65;1;TRUE
"aptwebapps";191;0;0;1;1;0;4;FALSE
"kevinschaul";194;1;0;1;2;21;2;FALSE
"doismellburning";3102;1;0;1;1;2;1;TRUE
"doismellburning";196;3;0;1;1;1;1;TRUE
"danielsokolowski";1423;3;0;1;1;3;5;TRUE
"danielsokolowski";1284;1;0;1;1;19;2;TRUE
"danielsokolowski";787;2;0;3;2;9;8;TRUE
"danielsokolowski";198;1;0;1;3;50;14;TRUE
"micolous";1222;1;5;24;95;914;302;TRUE
"micolous";1202;1;0;3;3;89;1;TRUE
"micolous";373;1;0;609;2974;115279;105171;TRUE
"micolous";201;10;0;12;5;42;3;TRUE
"sjaensch";202;3;0;5;2;16;6;FALSE
"mtigas";203;1;0;0;0;0;0;TRUE
"mariocesar";465;1;0;1;1;4;0;FALSE
"mariocesar";461;1;0;1;5;29;1;FALSE
"mariocesar";206;1;0;1;1;3;3;FALSE
"Miserlou";4596;1;0;2;4;28;2;FALSE
"Miserlou";211;1;0;1;1;1;1;FALSE
"goinnn";1936;11;0;1;5;30;0;TRUE
"goinnn";1292;1;0;3;5;14;3;TRUE
"goinnn";1291;7;0;1;4;16;3;TRUE
"goinnn";217;4;0;8;4;33;14;TRUE
"nsb";219;0;0;2;3;20;9;FALSE
"kylemacfarlane";222;5;1;9;3;284;127;FALSE
"eduardocereto";227;1;0;0;0;0;0;TRUE
"eduardocereto";226;1;0;0;0;0;0;TRUE
"davideklund";235;0;0;1;1;7;0;FALSE
"lorin";1006;0;0;2;1;16;12;FALSE
"lorin";903;2;0;1;1;16;7;FALSE
"lorin";515;3;0;1;1;7;0;FALSE
"lorin";513;1;0;1;2;43;0;FALSE
"lorin";408;5;0;3;3;11;4;FALSE
"lorin";279;1;0;1;1;58;0;FALSE
"lorin";238;6;0;4;3;11;4;FALSE
"cadusk";239;2;0;0;0;0;0;FALSE
"cberner";241;2;0;2;15;53;16;FALSE
"cberner";240;2;0;3;12;38;16;FALSE
"lifeiscontent";242;15;0;0;0;0;0;FALSE
"windwiny";243;1;0;1;1;12;1;FALSE
"Agilemeister";247;2;0;1;3;19;9;TRUE
"kamikaze";250;0;0;0;0;0;0;FALSE
"bremac";251;1;0;0;0;0;0;TRUE
"digi604";254;1;0;1;1;3;1;FALSE
"andrewsmedina";264;1;0;1;2;9;4;TRUE
"andrewsmedina";263;1;0;2;1;19;19;TRUE
"andrewsmedina";259;1;0;1;1;1;1;TRUE
"andrewsmedina";257;1;0;1;1;1;1;TRUE
"dlemos";258;1;0;76;77;754;423;TRUE
"GaretJax";260;3;0;7;6;12;5;FALSE
"martijnvermaat";262;1;0;1;1;1;1;TRUE
"chrislawlor";268;2;0;1;2;41;34;TRUE
"chrislawlor";267;1;2;1;1;34;33;TRUE
"chrislawlor";266;1;0;1;1;1;1;TRUE
"danniel";275;2;4;0;0;0;0;FALSE
"naktinis";278;3;0;3;2;13;12;FALSE
"naktinis";277;0;0;2;1;13;12;FALSE
"naktinis";276;0;0;1;1;12;11;FALSE
"pelletier";280;3;0;1;1;14;1;FALSE
"Natim";2066;1;3;1;1;21;1;FALSE
"Natim";866;4;0;1;1;16;3;FALSE
"Natim";281;2;0;1;1;9;2;FALSE
"thaxter";290;1;0;1;1;3;2;FALSE
"ryan-blunden";292;2;0;0;0;0;0;FALSE
"dlamotte";893;16;6;1;4;67;2;FALSE
"dlamotte";304;1;0;2;2;45;1;FALSE
"dlamotte";302;2;0;1;2;43;1;FALSE
"phill-tornroth";303;4;0;1;1;37;4;FALSE
"d1ffuz0r";416;1;0;1;2;18;0;FALSE
"d1ffuz0r";410;3;3;1;7;78;3;FALSE
"d1ffuz0r";409;1;0;1;4;22;0;FALSE
"d1ffuz0r";305;2;0;2;14;206;205;FALSE
"mrmagooey";306;1;0;0;0;0;0;FALSE
"bnomis";307;1;0;1;1;2;1;FALSE
"dmclain";314;1;3;2;2;6;3;FALSE
"g1smd";324;8;0;10;1;359;0;FALSE
"g1smd";316;3;1;2;1;158;0;FALSE
"anton-ryzhov";317;9;0;2;3;35;5;FALSE
"myusuf3";859;1;0;0;0;0;0;FALSE
"myusuf3";319;15;4;0;0;0;0;FALSE
"idanz";321;4;0;1;1;1;1;FALSE
"awsum";322;6;1;5;2;67;7;FALSE
"lotheac";369;5;9;5;3;14;5;FALSE
"lotheac";326;3;0;1;1;1;1;FALSE
"mcrute";328;3;0;0;0;0;0;FALSE
"kix";329;1;0;3;3;42;1;FALSE
"obeattie";1021;1;0;2;2;28;2;TRUE
"obeattie";332;1;0;2;2;41;8;TRUE
"bumyong";344;2;0;1;2;35;2;FALSE
"ashchristopher";346;3;0;1;4;63;1;FALSE
"jwmayfield";347;1;0;1;4;69;4;FALSE
"rvarshney";348;1;1;1;2;43;30;FALSE
"peterlandry";2419;3;0;1;1;9;0;FALSE
"peterlandry";352;5;0;1;2;23;4;FALSE
"adamdeprince";1473;2;0;3;4;166;2;FALSE
"adamdeprince";353;1;2;2;4;139;5;FALSE
"frgtn";7486;1;8;0;0;0;0;TRUE
"frgtn";367;2;0;0;0;0;0;TRUE
"jgsogo";368;3;1;1;1;9;5;FALSE
"bkg";395;0;0;1;5;15;12;TRUE
"bkg";374;1;0;1;1;1;1;TRUE
"meric";378;2;0;14;32;182;302;TRUE
"jdunck";848;4;0;1;1;6;13;TRUE
"jdunck";384;1;1;3;1;8;0;TRUE
"jdunck";381;1;0;1;2;12;0;TRUE
"paulswartz";382;1;0;1;2;23;4;FALSE
"trbs";383;1;0;1;2;19;1;FALSE
"jMyles";4066;9;7;1;2;36;4;FALSE
"jMyles";387;3;0;1;1;1;1;FALSE
"viniciuscainelli";392;4;0;1;1;10;8;FALSE
"dvelyk";397;1;0;1;1;31;29;FALSE
"melinath";2655;2;2;1;5;13;12;TRUE
"melinath";2652;4;31;5;15;229;61;TRUE
"melinath";2638;1;8;1;3;29;1;TRUE
"melinath";2452;2;0;1;2;24;1;TRUE
"melinath";414;2;0;99;267;4022;1541;TRUE
"melinath";413;2;0;1;3;42;3;TRUE
"melinath";398;1;0;1;5;30;7;TRUE
"jbuckner";406;3;0;7;3;79;4;FALSE
"mhaligowski";429;5;0;0;0;0;0;TRUE
"mhaligowski";424;1;0;0;0;0;0;TRUE
"mhaligowski";412;1;0;0;0;0;0;TRUE
"doda";415;1;2;0;0;0;0;FALSE
"0x0badc0de";417;8;0;0;0;0;0;FALSE
"Vienzzion";421;3;0;1;1;6;0;FALSE
"vicould";449;1;0;5;2;42;1;TRUE
"vicould";423;1;0;1;2;15;1;TRUE
"arild-haugstad";432;2;0;0;0;0;0;FALSE
"lqc";443;0;0;1;5;64;14;FALSE
"lqc";442;1;7;1;2;43;10;FALSE
"lqc";441;2;3;1;4;34;15;FALSE
"signed0";446;1;0;0;0;0;0;TRUE
"signed0";445;0;0;0;0;0;0;TRUE
"erlenddalen";447;1;0;1;1;3;3;FALSE
"santtu";448;1;0;1;1;15;1;FALSE
"Kronuz";4095;1;0;1;1;1;1;FALSE
"Kronuz";451;2;0;1;1;6;6;FALSE
"L1NT";458;1;0;0;0;0;0;FALSE
"fanatid";464;6;7;0;0;0;0;TRUE
"pholmes-gsa";471;0;0;1;1;2;0;FALSE
"ibustama";477;2;0;1;1;10;0;FALSE
"fletom";478;3;0;0;0;0;0;FALSE
"nosamanuel";482;2;0;3;3;35;4;FALSE
"foxx";483;1;2;0;0;0;0;FALSE
"khoomeister";491;0;0;1;2;5;2;TRUE
"khoomeister";487;2;0;1;2;4;1;TRUE
"keimlink";489;1;0;1;1;11;0;TRUE
"kokardy";492;1;0;0;0;0;0;FALSE
"harph";498;1;3;6;16;171;221;TRUE
"beshrkayali";500;2;0;17;22;169;39;TRUE
"pkolt";501;1;0;0;0;0;0;FALSE
"benoitbryon";502;4;0;3;2;177;42;FALSE
"woodlee";505;1;0;1;2;31;2;FALSE
"seanbrant";508;2;0;0;0;0;0;TRUE
"Glideh";510;1;0;0;0;0;0;FALSE
"minrk";1403;9;0;1;1;26;14;TRUE
"minrk";512;6;0;1;1;4;2;TRUE
"EmilStenstrom";1106;2;2;19;10;176;145;TRUE
"EmilStenstrom";525;2;0;1;1;2;1;TRUE
"EmilStenstrom";522;0;0;1;2;17;2;TRUE
"nicolaslara";526;3;0;1;3;44;2;FALSE
"heyman";527;2;0;1;2;9;0;TRUE
"per42";542;4;0;28;45;1205;286;TRUE
"per42";528;1;0;3;2;30;15;TRUE
"thiderman";535;1;0;1;3;23;2;FALSE
"thiderman";529;2;1;1;6;117;6;FALSE
"cvitan";1109;1;0;6;3;27;0;FALSE
"cvitan";1105;0;0;4;3;29;0;FALSE
"cvitan";530;1;0;1;2;9;0;FALSE
"shepdl";531;1;6;0;0;0;0;TRUE
"ghickman";532;3;0;1;2;14;3;TRUE
"edwtjo";533;1;0;0;0;0;0;TRUE
"Rizach";534;1;0;0;0;0;0;FALSE
"sebasmagri";540;3;0;2;2;53;9;TRUE
"sebasmagri";539;1;0;2;2;53;9;TRUE
"sebasmagri";538;1;0;2;1;2;2;TRUE
"alexhayes";541;3;0;3;0;0;0;FALSE
"azza-bazoo";547;1;0;0;0;0;0;FALSE
"raffael-sfm";551;0;0;1;1;1;1;FALSE
"raffael-sfm";550;0;0;1;1;1;1;FALSE
"max-arnold";552;3;0;1;1;1;1;FALSE
"inocuo";553;0;4;1;1;2;2;FALSE
"ebertti";1686;2;0;0;0;0;0;FALSE
"ebertti";557;5;0;0;0;0;0;FALSE
"teferi";562;1;0;1;1;4;0;TRUE
"teferi";561;4;0;2;1;1;0;TRUE
"bak1an";5612;9;0;1;2;37;3;TRUE
"bak1an";5343;3;3;1;2;34;7;TRUE
"bak1an";5244;18;7;6;3;117;42;TRUE
"bak1an";3553;7;10;1;6;73;3;TRUE
"bak1an";2272;1;0;1;2;26;3;TRUE
"bak1an";2259;4;0;1;4;66;3;TRUE
"bak1an";1305;1;0;1;2;36;10;TRUE
"bak1an";1017;7;2;1;2;13;0;TRUE
"bak1an";978;3;0;30;58;938;236;TRUE
"bak1an";786;6;0;14;39;730;615;TRUE
"bak1an";586;5;0;1;3;27;1;TRUE
"bak1an";565;1;0;1;3;32;2;TRUE
"gw0";567;2;0;4;5;111;10;FALSE
"gw0";566;1;0;3;6;159;44;FALSE
"ludwigkraatz";568;1;1;3;2;36;7;FALSE
"tcsorrel";2388;5;5;1;5;50;2;TRUE
"tcsorrel";575;1;0;1;7;62;2;TRUE
"ak3n";577;1;0;0;0;0;0;FALSE
"eire1130";578;2;3;5;3;130;58;FALSE
"emulbreh";6638;7;23;2;10;49;16;TRUE
"emulbreh";580;1;0;27;99;1594;327;TRUE
"BHold";599;1;0;29;58;2823;825;TRUE
"BHold";581;0;0;1;2;23;1;TRUE
"robert-j-engdahl";584;3;0;2;2;22;1;FALSE
"chmarr";5900;1;0;1;4;12;1;FALSE
"chmarr";5892;5;0;1;4;49;33;FALSE
"chmarr";5890;5;0;1;5;25;1;FALSE
"chmarr";592;2;0;1;1;17;13;FALSE
"chmarr";588;1;3;1;10;47;44;FALSE
"rtnpro";653;12;6;1;6;74;4;FALSE
"rtnpro";590;8;2;1;2;54;4;FALSE
"piotrmaslanka";593;2;0;0;0;0;0;FALSE
"nicolasleger";594;3;0;1;1;1;1;FALSE
"mcardillo55";600;1;0;924;4550;201354;408946;FALSE
"patrys";5692;2;0;1;3;58;25;TRUE
"patrys";5649;2;5;1;1;9;13;TRUE
"patrys";4797;1;10;1;2;53;12;TRUE
"patrys";4780;6;2;1;2;23;8;TRUE
"patrys";4451;6;0;2;2;20;0;TRUE
"patrys";4450;8;4;2;3;66;16;TRUE
"patrys";3634;5;4;2;2;20;8;TRUE
"patrys";3546;15;12;1;11;200;88;TRUE
"patrys";1177;0;2;1;25;265;262;TRUE
"patrys";1139;7;0;1;2;6;6;TRUE
"patrys";1133;3;0;2;3;45;27;TRUE
"patrys";1108;3;0;1;1;2;5;TRUE
"patrys";601;1;1;2;3;33;2;TRUE
"Y3K";5210;2;3;1;2;24;0;TRUE
"Y3K";5205;4;7;1;4;5;9;TRUE
"Y3K";5204;1;4;1;3;13;2;TRUE
"Y3K";604;2;0;1;1;1;1;TRUE
"tbartelmess";607;3;0;0;0;0;0;FALSE
"tbartelmess";606;1;0;0;0;0;0;FALSE
"LucasMagnum";608;1;0;0;0;0;0;FALSE
"ELLIOTTCABLE";610;2;0;0;0;0;0;FALSE
"lborgav";611;5;0;0;0;0;0;FALSE
"mpaolini";614;4;0;2;2;5;1;TRUE
"ostcar";621;2;0;0;0;0;0;FALSE
"mengzhuo";623;1;0;0;0;0;0;FALSE
"rosslaird";625;1;0;0;0;0;0;FALSE
"lraucy";626;1;0;2;2;11;4;FALSE
"nijel";3816;1;0;1;2;7;1;TRUE
"nijel";3815;8;9;1;3;18;2;TRUE
"nijel";3298;2;0;1;1;4;3;TRUE
"nijel";2398;2;0;1;1;1;1;TRUE
"nijel";628;1;0;1;1;12;10;TRUE
"nijel";627;7;0;50;139;1448;950;TRUE
"berinhard";634;1;0;1;1;7;0;FALSE
"vkurup";635;1;0;1;1;2;2;TRUE
"JensRantil";638;1;0;1;1;1;1;FALSE
"jorabra";647;1;0;2;1;1;1;FALSE
"MartinLindsay";648;3;0;1;6;83;2;FALSE
"jtiai";7225;2;15;1;2;36;6;TRUE
"jtiai";7221;4;17;1;2;62;0;TRUE
"jtiai";5684;4;0;1;2;15;6;TRUE
"jtiai";5319;8;10;1;6;128;28;TRUE
"jtiai";5160;3;1;1;3;6;1;TRUE
"jtiai";650;1;0;1;1;5;4;TRUE
"chroto";651;1;0;1;1;3;0;FALSE
"vaal-";654;1;0;2;2;8;0;FALSE
"jtillman";680;0;0;12;17;811;309;FALSE
"jtillman";656;1;17;11;13;615;219;FALSE
"jordanmessina";658;0;0;0;0;0;0;FALSE
"federicobond";664;2;0;1;2;3;3;FALSE
"manelclos";667;1;0;0;0;0;0;FALSE
"cag";668;2;0;0;0;0;0;FALSE
"johnraz";671;4;5;1;2;8;3;FALSE
"johnraz";670;8;0;1;1;1;1;FALSE
"dbravender";672;0;0;0;0;0;0;FALSE
"bruth";674;1;0;1;1;12;3;FALSE
"twig";681;1;0;1;1;1;1;FALSE
"cvrebert";683;1;0;0;0;0;0;FALSE
"tiberiuana";833;5;0;0;0;0;0;FALSE
"tiberiuana";685;1;0;0;0;0;0;FALSE
"mateuszf";687;1;0;1;1;1;1;FALSE
"zmsmith";694;1;0;18;25;270;61;TRUE
"zmsmith";693;1;0;1;5;122;10;TRUE
"aalexgabi";699;4;0;0;0;0;0;FALSE
"pricco";1813;1;0;2;4;41;5;TRUE
"pricco";701;3;0;50;142;1383;960;TRUE
"kennknowles";703;2;0;3;2;22;23;FALSE
"jtinfors";705;4;4;0;0;0;0;FALSE
"robvdl";707;0;0;84;2382;79125;106345;TRUE
"fernandogrd";720;1;0;1;1;8;0;FALSE
"mvantellingen";723;1;0;0;0;0;0;TRUE
"mvantellingen";721;1;0;0;0;0;0;TRUE
"cato-";724;4;0;12;33;231;123;TRUE
"jbcurtin";2413;3;0;0;0;0;0;FALSE
"jbcurtin";725;1;0;0;0;0;0;FALSE
"itsallvoodoo";874;4;0;2;2;13;12;FALSE
"itsallvoodoo";727;1;0;1;1;7;9;FALSE
"regebro";729;1;0;0;0;0;0;TRUE
"lucmult";736;4;0;3;2;39;1;FALSE
"dahool";742;0;0;1;3;44;0;FALSE
"dahool";741;0;0;1;3;44;0;FALSE
"dahool";740;1;2;1;3;43;0;FALSE
"reversefold";1055;1;0;1;1;1;1;FALSE
"reversefold";744;4;0;3;2;20;1;FALSE
"yueyoum";745;4;0;2;2;61;5;FALSE
"ziima";6973;2;0;1;2;4;2;TRUE
"ziima";5228;1;1;1;5;71;5;TRUE
"ziima";4977;1;11;1;8;33;103;TRUE
"ziima";4947;0;9;2;5;196;158;TRUE
"ziima";3145;3;4;3;4;189;154;TRUE
"ziima";2687;3;3;1;3;34;2;TRUE
"ziima";1963;2;0;1;16;195;48;TRUE
"ziima";1807;3;8;1;3;32;7;TRUE
"ziima";957;2;0;1;4;40;1;TRUE
"ziima";747;1;0;1;7;69;3;TRUE
"josven";2351;3;0;6;4;52;2;TRUE
"josven";794;3;0;7;3;28;3;TRUE
"josven";753;1;0;3;5;32;3;TRUE
"mehmetakyuz";767;1;2;3;3;42;2;FALSE
"mehmetakyuz";755;0;0;1;3;41;2;FALSE
"gkmngrgn";760;2;2;0;0;0;0;FALSE
"VladimirFilonov";766;1;1;2;4;126;11;FALSE
"dwightgunning";5597;1;2;1;2;4;1;TRUE
"dwightgunning";768;2;0;1;1;3;2;TRUE
"nvandijk";771;1;0;1;1;1;1;FALSE
"dokterbob";838;1;2;1;5;62;14;TRUE
"dokterbob";837;1;0;1;2;6;5;TRUE
"dokterbob";805;5;2;11;18;361;23;TRUE
"dokterbob";773;1;0;1;1;8;3;TRUE
"stefan8";774;1;1;4;3;54;1;FALSE
"jjmurre";776;1;0;1;1;165;0;FALSE
"michi88";779;1;0;1;3;64;0;FALSE
"datagrok";782;1;0;0;0;0;0;FALSE
"datagrok";780;1;0;0;0;0;0;FALSE
"tback";802;0;0;4;12;160;22;FALSE
"tback";784;0;2;2;6;132;21;FALSE
"hernantz";785;1;0;2;2;7;6;TRUE
"marw";788;3;1;1;2;66;1;FALSE
"pmourelle";845;3;3;2;11;12;21;TRUE
"pmourelle";790;4;1;4;1;7;4;TRUE
"ezequielsz";792;1;5;1;5;89;9;FALSE
"slhodson969";793;4;1;2;4;36;13;FALSE
"jmansilla";853;1;0;1;3;24;5;TRUE
"jmansilla";797;1;0;4;4;80;2;TRUE
"haxoza";5658;2;3;1;7;97;28;TRUE
"haxoza";822;1;0;1;2;12;0;TRUE
"haxoza";799;2;0;1;2;31;18;TRUE
"reinout";801;5;18;5;4;243;459;FALSE
"mpessas";3292;1;0;1;1;2;2;TRUE
"mpessas";2149;4;11;13;12;434;43;TRUE
"mpessas";842;0;0;1;1;2;0;TRUE
"mpessas";803;3;0;12;29;559;79;TRUE
"fisadev";806;2;5;7;5;82;2;TRUE
"adamduren";2202;2;0;0;0;0;0;FALSE
"adamduren";810;1;1;0;0;0;0;FALSE
"bpeschier";4360;1;4;1;5;56;6;TRUE
"bpeschier";4353;3;12;1;3;59;0;TRUE
"bpeschier";4321;1;0;1;6;58;45;TRUE
"bpeschier";4275;4;0;1;2;13;2;TRUE
"bpeschier";4272;3;5;2;2;54;30;TRUE
"bpeschier";4259;4;2;1;2;40;1;TRUE
"bpeschier";2343;1;0;2;2;8;3;TRUE
"bpeschier";2340;1;0;1;5;72;2;TRUE
"bpeschier";2274;1;0;1;1;1;1;TRUE
"bpeschier";821;1;0;1;2;20;0;TRUE
"joeribekker";4274;2;3;1;2;31;6;TRUE
"joeribekker";1095;1;8;3;5;50;4;TRUE
"joeribekker";823;1;0;1;1;9;1;TRUE
"benkonrath";4277;9;0;1;5;112;0;TRUE
"benkonrath";827;2;0;1;2;10;0;TRUE
"estebistec";840;2;4;10;11;626;48;TRUE
"jose-lpa";2693;4;8;1;1;134;98;TRUE
"jose-lpa";843;1;0;6;4;47;23;TRUE
"rodrigopmatias";880;2;0;0;0;0;0;FALSE
"rodrigopmatias";844;3;0;0;0;0;0;FALSE
"reecelong";846;0;0;1;1;6;6;FALSE
"kux";4244;2;13;5;6;163;22;TRUE
"kux";3915;3;8;1;6;151;22;TRUE
"kux";3801;2;10;3;6;150;22;TRUE
"kux";2664;2;7;7;5;141;33;TRUE
"kux";1206;5;6;18;23;348;85;TRUE
"kux";852;1;0;2;2;14;1;TRUE
"KristianOellegaard";860;2;0;1;1;1;0;FALSE
"romanalexander";862;2;0;0;0;0;0;FALSE
"atodorov";863;4;0;0;0;0;0;FALSE
"ikks";1623;1;3;4;4;31;9;TRUE
"ikks";868;3;0;1;2;10;1;TRUE
"kmike";869;2;0;2;3;11;5;FALSE
"crackcomm";872;4;0;0;0;0;0;FALSE
"SonOfLilit";875;1;0;1;2;54;46;FALSE
"nvie";878;2;0;2;4;34;7;FALSE
"joshdrake";879;2;0;1;2;4;4;FALSE
"acdha";881;13;3;2;2;57;3;TRUE
"akshar-raaj";883;1;0;1;1;1;1;FALSE
"chsigi";887;1;0;1;3;29;1;TRUE
"naftulikay";2002;1;0;1;1;1;0;FALSE
"naftulikay";898;2;1;1;2;13;0;FALSE
"thedrow";5004;6;0;3;4;112;11;FALSE
"thedrow";899;1;0;5;2;288;191;FALSE
"woodm1979";921;1;6;0;0;0;0;TRUE
